no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.05,3176,3.176,0.056356
100000,0.075,4105,4.105,0.0640703
100000,0.1,7379,7.379,0.0859011
100000,0.11111111111111112,8448,8.448,0.091913
100000,0.12222222222222223,9505,9.505,0.0974936
100000,0.13333333333333333,10429,10.429,0.102122
100000,0.14444444444444446,10816,10.816,0.104
100000,0.15555555555555556,11383,11.383,0.106691
100000,0.16666666666666669,11463,11.463,0.107065
100000,0.17777777777777778,11805,11.805,0.108651
100000,0.18888888888888888,11555,11.555,0.107494
100000,0.2,11755,11.755,0.10842
100000,0.3,11005,11.005,0.104905
100000,0.4,9872,9.872,0.0993579
100000,0.5,9002,9.002,0.0948789
100000,0.6,8504,8.504,0.0922171
100000,0.7,7905,7.905,0.0889101
100000,0.8,7561,7.561,0.086954
100000,0.9,7258,7.258,0.0851939
100000,1.0,6943,6.943,0.0833247
100000,1.1666666666666667,6464,6.464,0.080399
100000,1.3333333333333333,6140,6.14,0.0783582
100000,1.5,5789,5.789,0.0760855
100000,1.6666666666666665,5421,5.421,0.0736274
100000,1.8333333333333333,5212,5.212,0.0721942
100000,2.0,4983,4.983,0.0705904
100000,2.1666666666666665,4773,4.773,0.0690869
100000,2.333333333333333,4428,4.428,0.0665432
100000,2.5,4295,4.295,0.0655362
100000,2.6666666666666665,4085,4.085,0.063914
100000,2.833333333333333,4071,4.071,0.0638044
100000,3.0,3869,3.869,0.0622013
100000,3.1666666666666665,3768,3.768,0.061384
100000,3.333333333333333,3635,3.635,0.060291
100000,3.5,3477,3.477,0.0589661
100000,3.6666666666666665,3357,3.357,0.0579396
100000,3.833333333333333,3297,3.297,0.0574195
100000,4.0,3145,3.145,0.0560803
100000,4.166666666666666,3152,3.152,0.0561427
100000,4.333333333333333,3003,3.003,0.0547996
100000,4.5,3018,3.018,0.0549363
100000,4.666666666666666,2838,2.838,0.0532729
100000,4.833333333333333,2780,2.78,0.0527257
100000,5.0,2775,2.775,0.0526783
