no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.0001,0,0,N/A
100000,0.008717241379310344,2,0.002,0.00141421
100000,0.01733448275862069,5,0.005,0.00223607
100000,0.025951724137931034,10,0.01,0.00316228
100000,0.03456896551724138,25,0.025,0.005
100000,0.043186206896551727,16,0.016,0.004
100000,0.05180344827586207,24,0.024,0.00489898
100000,0.060420689655172416,27,0.027,0.00519615
100000,0.06903793103448276,23,0.023,0.00479583
100000,0.0776551724137931,109,0.109,0.0104403
100000,0.08627241379310345,278,0.278,0.0166733
100000,0.0948896551724138,501,0.501,0.022383
100000,0.10350689655172414,808,0.808,0.0284253
100000,0.11212413793103448,1093,1.093,0.0330606
100000,0.12074137931034483,1425,1.425,0.0377492
100000,0.12935862068965515,1654,1.654,0.0406694
100000,0.1379758620689655,1846,1.846,0.0429651
100000,0.14659310344827586,2070,2.07,0.0454973
100000,0.1552103448275862,2097,2.097,0.045793
100000,0.16382758620689652,2168,2.168,0.0465618
100000,0.17244482758620688,2297,2.297,0.047927
100000,0.18106206896551724,2303,2.303,0.0479896
100000,0.18967931034482757,2405,2.405,0.0490408
100000,0.1982965517241379,2338,2.338,0.0483529
100000,0.20691379310344826,2478,2.478,0.0497795
100000,0.21553103448275862,2323,2.323,0.0481975
100000,0.22414827586206895,2443,2.443,0.0494267
100000,0.23276551724137928,2363,2.363,0.0486107
100000,0.24138275862068964,2346,2.346,0.0484355
100000,0.25,2366,2.366,0.0486415
100000,0.3,2219,2.219,0.0471063
100000,0.4,1918,1.918,0.043795
100000,0.5,1661,1.661,0.0407554
100000,0.6,1502,1.502,0.0387556
100000,0.7,1447,1.447,0.0380395
100000,0.8,1294,1.294,0.0359722
100000,0.9,1206,1.206,0.0347275
100000,1.0,1175,1.175,0.0342783
100000,1.1666666666666667,1126,1.126,0.0335559
100000,1.3333333333333333,968,0.968,0.0311127
100000,1.5,947,0.947,0.0307734
100000,1.6666666666666665,867,0.867,0.0294449
100000,1.8333333333333333,894,0.894,0.0298998
100000,2.0,791,0.791,0.0281247
100000,2.1666666666666665,705,0.705,0.0265518
100000,2.333333333333333,700,0.7,0.0264575
100000,2.5,671,0.671,0.0259037
100000,2.6666666666666665,618,0.618,0.0248596
100000,2.833333333333333,595,0.595,0.0243926
100000,3.0,599,0.599,0.0244745
100000,3.1666666666666665,581,0.581,0.0241039
100000,3.333333333333333,499,0.499,0.0223383
100000,3.5,500,0.5,0.0223607
100000,3.6666666666666665,477,0.477,0.0218403
100000,3.833333333333333,469,0.469,0.0216564
100000,4.0,480,0.48,0.0219089
100000,4.166666666666666,419,0.419,0.0204695
100000,4.333333333333333,397,0.397,0.0199249
100000,4.5,410,0.41,0.0202485
100000,4.666666666666666,383,0.383,0.0195704
100000,4.833333333333333,429,0.429,0.0207123
100000,5.0,347,0.347,0.0186279
