no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.0001,0,0,N/A
100000,0.008717241379310344,2,0.002,0.00141421
100000,0.01733448275862069,9,0.009,0.003
100000,0.025951724137931034,9,0.009,0.003
100000,0.03456896551724138,19,0.019,0.0043589
100000,0.043186206896551727,10,0.01,0.00316228
100000,0.05180344827586207,15,0.015,0.00387298
100000,0.060420689655172416,19,0.019,0.0043589
100000,0.06903793103448276,20,0.02,0.00447214
100000,0.0776551724137931,96,0.096,0.00979796
100000,0.08627241379310345,300,0.3,0.0173205
100000,0.0948896551724138,513,0.513,0.0226495
100000,0.10350689655172414,804,0.804,0.0283549
100000,0.11212413793103448,1122,1.122,0.0334963
100000,0.12074137931034483,1404,1.404,0.03747
100000,0.12935862068965515,1678,1.678,0.0409634
100000,0.1379758620689655,1853,1.853,0.0430465
100000,0.14659310344827586,2028,2.028,0.0450333
100000,0.1552103448275862,2145,2.145,0.0463141
100000,0.16382758620689652,2229,2.229,0.0472123
100000,0.17244482758620688,2325,2.325,0.0482183
100000,0.18106206896551724,2366,2.366,0.0486415
100000,0.18967931034482757,2361,2.361,0.0485901
100000,0.1982965517241379,2467,2.467,0.0496689
100000,0.20691379310344826,2492,2.492,0.0499199
100000,0.21553103448275862,2336,2.336,0.0483322
100000,0.22414827586206895,2388,2.388,0.0488672
100000,0.23276551724137928,2341,2.341,0.0483839
100000,0.24138275862068964,2341,2.341,0.0483839
100000,0.25,2401,2.401,0.049
100000,0.3,2146,2.146,0.0463249
100000,0.4,1982,1.982,0.0445197
100000,0.5,1730,1.73,0.0415933
100000,0.6,1485,1.485,0.0385357
100000,0.7,1403,1.403,0.0374566
100000,0.8,1309,1.309,0.0361801
100000,0.9,1241,1.241,0.0352278
100000,1.0,1152,1.152,0.0339411
100000,1.1666666666666667,1054,1.054,0.0324654
100000,1.3333333333333333,1035,1.035,0.0321714
100000,1.5,940,0.94,0.0306594
100000,1.6666666666666665,905,0.905,0.0300832
100000,1.8333333333333333,859,0.859,0.0293087
100000,2.0,774,0.774,0.0278209
100000,2.1666666666666665,743,0.743,0.027258
100000,2.333333333333333,700,0.7,0.0264575
100000,2.5,676,0.676,0.026
100000,2.6666666666666665,597,0.597,0.0244336
100000,2.833333333333333,586,0.586,0.0242074
100000,3.0,586,0.586,0.0242074
100000,3.1666666666666665,572,0.572,0.0239165
100000,3.333333333333333,544,0.544,0.0233238
100000,3.5,580,0.58,0.0240832
100000,3.6666666666666665,490,0.49,0.0221359
100000,3.833333333333333,484,0.484,0.022
100000,4.0,442,0.442,0.0210238
100000,4.166666666666666,460,0.46,0.0214476
100000,4.333333333333333,432,0.432,0.0207846
100000,4.5,371,0.371,0.0192614
100000,4.666666666666666,356,0.356,0.018868
100000,4.833333333333333,381,0.381,0.0195192
100000,5.0,372,0.372,0.0192873


