no_event,Energy,PhotopeakCount,Efficiency,Error
100000,0.05,1,0.001,0.001
100000,0.075,1352,1.352,0.0367696
100000,0.1,5788,5.788,0.0760789
100000,0.11111111111111112,7557,7.557,0.086931
100000,0.12222222222222223,9024,9.024,0.0949947
100000,0.13333333333333333,10079,10.079,0.100394
100000,0.14444444444444446,10833,10.833,0.104082
100000,0.15555555555555556,11163,11.163,0.105655
100000,0.16666666666666669,11661,11.661,0.107986
100000,0.17777777777777778,11802,11.802,0.108637
100000,0.18888888888888888,11682,11.682,0.108083
100000,0.2,11417,11.417,0.10685
100000,0.3,10192,10.192,0.100955
100000,0.4,8982,8.982,0.0947734
100000,0.5,8228,8.228,0.0907083
100000,0.6,7354,7.354,0.0857555
100000,0.7,7028,7.028,0.0838332
100000,0.8,6474,6.474,0.0804612
100000,0.9,6101,6.101,0.0781089
100000,1.0,5754,5.754,0.0758551
100000,1.1666666666666667,5452,5.452,0.0738377
100000,1.3333333333333333,5323,5.323,0.0729589
100000,1.5,4851,4.851,0.0696491
100000,1.6666666666666665,4465,4.465,0.0668207
100000,1.8333333333333333,4180,4.18,0.0646529
100000,2.0,3941,3.941,0.0627774
100000,2.1666666666666665,3764,3.764,0.0613514
100000,2.333333333333333,3618,3.618,0.0601498
100000,2.5,3561,3.561,0.0596741
100000,2.6666666666666665,3327,3.327,0.0576802
100000,2.833333333333333,3100,3.1,0.0556776
100000,3.0,3032,3.032,0.0550636
100000,3.1666666666666665,2916,2.916,0.054
100000,3.333333333333333,2814,2.814,0.0530471
100000,3.5,2747,2.747,0.0524118
100000,3.6666666666666665,2518,2.518,0.0501797
100000,3.833333333333333,2501,2.501,0.05001
100000,4.0,2480,2.48,0.0497996
100000,4.166666666666666,2332,2.332,0.0482908
100000,4.333333333333333,2197,2.197,0.0468722
100000,4.5,2217,2.217,0.047085
100000,4.666666666666666,2108,2.108,0.045913
100000,4.833333333333333,2027,2.027,0.0450222
100000,5.0,1983,1.983,0.0445309
