TB,Pad8590,Pad8373,Pad2378,Pad2124,Pad1319
0,0.885968,1.00642,0.984269,2.13843,2.26936
1,2.1525,2.09627,2.56999,3.0166,3.40693
2,0.951476,0.625398,0.784607,0.85192,0.781685
3,-0.278465,-0.711069,-1.08154,-0.591281,-1.58464
4,-0.478776,-1.16261,-1.5398,-0.631415,-1.757
5,-0.140824,-0.883828,-0.732699,-0.34734,-0.28512
6,0.071717,-0.316486,0.176631,-0.658449,1.2798
7,-0.263744,0.23025,0.230221,-0.916309,1.44771
8,-0.559598,0.375731,-0.144077,-0.457213,0.140789
9,0.00271817,0.213,-0.0417745,0.2462,-1.22289
10,0.678995,-0.0977337,0.404206,0.379883,-1.3778
11,0.425455,-0.108548,0.554166,-0.397351,-0.913668
12,-0.529636,0.0028776,-0.283215,-0.981305,-0.741574
13,-0.944227,-0.218392,-1.12196,-0.672811,-0.8915
14,-0.53787,-0.213743,-1.03333,0.10972,-0.884752
15,0.265913,0.0938683,-0.139224,0.427403,0.0395426
16,0.561955,0.0482513,0.60462,0.0798018,1.09535
17,-0.125684,-0.02326,0.526924,-0.432166,0.879168
18,-1.09509,-0.22485,-0.0973155,-0.707126,-0.494968
19,-1.04279,-0.731542,-0.620706,-0.457187,-1.18643
20,-0.173774,-1.10605,-0.620664,-0.086757,-0.191872
21,0.36576,-1.16765,-0.308237,0.0491579,0.80476
22,-0.00810279,-0.487847,-0.0790439,-0.343273,0.466685
23,-0.583041,0.645453,0.157779,-0.679907,-0.224241
24,-0.586018,1.15265,0.444685,-0.163926,-0.184321
25,-0.241434,0.304478,0.464542,0.364939,0.450155
26,0.460796,-0.757232,0.2023,-0.0688651,0.715764
27,1.04775,-0.342698,-0.231161,-0.717978,0.472511
28,1.02122,0.762776,-0.638757,-0.507056,0.268065
29,0.497862,0.604589,-0.580006,0.0282784,0.520312
30,-0.192708,-0.66595,0.20324,0.200374,0.714291
31,-0.539071,-1.18636,0.604455,0.122956,0.46896
32,-0.651428,-0.422141,0.358626,-0.246701,-0.105608
33,-0.522705,0.632195,0.264171,-0.624479,-0.47317
34,-0.0127283,1.03899,0.643565,-0.402825,-0.522168
35,0.426339,0.558821,0.755012,0.0535088,-0.523638
36,0.499248,-0.180397,0.20025,0.350156,-0.486789
37,0.593063,-0.329378,-0.379033,0.453233,-0.452769
38,0.746177,-0.0299963,-0.382247,0.60819,-0.0756116
39,0.60199,-0.0732811,0.283127,0.5672,0.636973
40,-0.146074,-0.733057,0.933385,0.0103696,1.39308
41,-0.755497,-1.46073,0.707453,-0.291535,1.64348
42,-0.535806,-1.21664,-0.538123,-0.000246927,0.579196
43,0.230041,0.2157,-1.06255,0.395345,-0.658808
44,0.944424,1.17674,-0.390804,0.54927,-0.751439
45,1.29357,0.894111,0.392769,0.32962,-0.258684
46,1.03019,0.56943,0.80122,0.057102,-0.536083
47,0.670217,0.898321,0.806994,0.0177673,-1.72778
48,0.580629,1.17888,0.71787,0.209225,-2.00471
49,0.471777,0.408955,0.396634,0.581415,-0.0871883
50,0.397956,-0.644011,-0.503043,0.81047,2.31027
51,0.19101,-0.653271,-0.972316,0.749842,2.94562
52,0.0285577,0.482899,-0.47103,0.669558,1.55048
53,0.377418,1.2794,0.594621,0.683867,-0.206912
54,0.998987,0.668543,1.43126,0.360864,-0.948926
55,1.44945,-0.0740201,1.29868,-0.199526,-0.294404
56,1.29952,0.155009,0.572555,-0.248937,0.471789
57,0.663976,0.447107,0.400964,0.0830756,0.748768
58,0.312004,0.304921,0.775645,0.566644,0.994635
59,0.425882,-0.284545,0.965837,0.752896,1.02747
60,1.06767,-0.945316,0.79916,0.74503,1.13194
61,1.52093,-0.875989,0.290379,0.567331,1.03854
62,1.43516,0.265877,-0.133719,0.403457,0.479887
63,1.50585,1.23614,-0.0186607,0.347339,0.0353262
64,1.32376,1.36484,0.644504,0.328176,0.472377
65,0.696393,0.57342,1.15374,0.562824,1.04401
66,0.135994,-0.139056,1.30942,0.813559,0.879072
67,-0.0245355,0.342019,1.15881,1.00493,0.304645
68,0.123767,0.771718,0.661246,1.06649,-0.155339
69,0.510688,0.430795,0.363553,0.785968,-0.0535928
70,1.27152,-0.0157644,0.394061,-0.111245,0.33335
71,2.05662,0.527287,0.209208,-0.48249,0.469176
72,2.05713,1.89848,0.239855,0.278436,0.369851
73,1.15656,2.31388,0.792662,1.1595,0.0646489
74,0.286996,1.04882,1.04697,1.12273,-0.0420938
75,0.348441,-0.289346,0.758026,0.355101,0.310715
76,1.02195,-0.00296064,0.355156,0.0109213,0.447444
77,1.08767,1.12639,0.339571,0.4966,0.311981
78,0.656867,1.46932,0.926788,1.0268,0.280937
79,0.865102,0.788735,1.47083,1.24436,0.407864
80,1.4698,0.250405,1.66914,0.993703,0.578971
81,1.6219,0.140915,1.8274,0.5552,0.533441
82,1.50647,0.388642,1.90217,0.529917,0.54976
83,0.923013,0.616846,1.60251,0.68292,0.466227
84,0.0333792,0.242542,0.779082,1.12704,0.216498
85,-0.490474,-0.285579,0.0885506,2.02013,0.317545
86,-0.333612,-0.255108,0.419791,2.35925,0.734488
